FTLAB RADON DATA FILE
MODEL NAME:	RD200
S/N:	HI14RE000364
Unit:	Bq/m3
Time step:	1hour
Data No :	78
1)	 63
2)	 57
3)	 54
4)	 65
5)	 72
6)	 75
7)	103
8)	 96
9)	109
10)	 99
11)	106
12)	119
13)	137
14)	105
15)	 96
16)	 65
17)	 81
18)	 77
19)	 96
20)	100
21)	102
22)	143
23)	147
24)	274
25)	213
26)	225
27)	218
28)	235
29)	209
30)	153
31)	221
32)	184
33)	191
34)	150
35)	146
36)	 79
37)	 79
38)	 36
39)	 54
40)	 96
41)	100
42)	 90
43)	150
44)	136
45)	162
46)	149
47)	162
48)	184
49)	180
50)	178
51)	183
52)	165
53)	156
54)	 60
55)	 44
56)	 24
57)	 45
58)	 63
59)	 60
60)	 68
61)	 48
62)	 79
63)	 85
64)	 93
65)	 93
66)	 96
67)	 93
68)	111
69)	 53
70)	 41
71)	 23
72)	 18
73)	  8
74)	 30
75)	 29
76)	 33
77)	 51
78)	 56
