FTLAB RADON DATA FILE
MODEL NAME:	RD200
S/N:	HI14RE000364
Unit:	Bq/m3
Time step:	1hour
Data No :	73
1)	 91
2)	 97
3)	 33
4)	 13
5)	  2
6)	  2
7)	  1
8)	  0
9)	  0
10)	  1
11)	  2
12)	 21
13)	 30
14)	 32
15)	 84
16)	 74
17)	 65
18)	 82
19)	108
20)	109
21)	147
22)	139
23)	136
24)	102
25)	 99
26)	106
27)	161
28)	118
29)	 75
30)	 33
31)	 42
32)	 33
33)	 36
34)	 51
35)	 53
36)	 42
37)	 44
38)	 93
39)	134
40)	137
41)	137
42)	 94
43)	 65
44)	 51
45)	 53
46)	100
47)	 87
48)	 81
49)	 44
50)	 45
51)	 27
52)	 20
53)	 10
54)	  8
55)	  5
56)	  1
57)	  2
58)	  5
59)	  5
60)	 35
61)	 45
62)	 44
63)	 56
64)	 47
65)	 54
66)	 84
67)	 82
68)	111
69)	100
70)	 97
71)	 48
72)	 66
73)	100
